"HostName","Name","SID","AccountExpires","Enabled","PasswordChangeableDate","PasswordExpires","UserMayChangePassword","PasswordRequired","PasswordLastSet","LastLogon","Error"
"DC-SRV01","Administrator","S-1-5-21-3318670742-1788910955-930507466-500",,"True","3/8/2024 9:24:09 AM",,"True","True","3/8/2024 9:24:09 AM","11/15/2024 2:29:20 AM",
"DC-SRV01","Guest","S-1-5-21-3318670742-1788910955-930507466-501",,"False",,,"True","False",,,
"DC-SRV01","krbtgt","S-1-5-21-3318670742-1788910955-930507466-502",,"False","10/2/2023 8:56:53 AM","11/13/2023 7:56:53 AM","True","True","10/2/2023 8:56:53 AM",,
"DC-SRV01","toto","S-1-5-21-3318670742-1788910955-930507466-1609",,"True",,,"True","True",,,
"DC-SRV01","toto_titi","S-1-5-21-3318670742-1788910955-930507466-1610",,"True",,,"True","True",,,
"DC-SRV01","svc_choucroute","S-1-5-21-3318670742-1788910955-930507466-2601","7/2/2024 12:00:00 AM","True","9/17/2024 2:47:04 AM",,"True","True","9/17/2024 2:47:04 AM",,
"DC-SRV01","T0_toto","S-1-5-21-3318670742-1788910955-930507466-2605",,"True","10/15/2024 5:45:26 AM",,"True","True","10/15/2024 5:45:26 AM","10/17/2024 8:26:34 AM",
"DC-SRV01","poney","S-1-5-21-3318670742-1788910955-930507466-2610",,"True","11/4/2024 8:21:33 AM",,"True","True","11/4/2024 8:21:33 AM",,
"DC-SRV01","DC-SRV01$","S-1-5-21-3318670742-1788910955-930507466-1000",,"True","10/17/2024 6:22:01 AM",,"True","True","10/17/2024 6:22:01 AM","11/15/2024 2:29:33 AM",
"DC-SRV01","SRV-MGMT-01$","S-1-5-21-3318670742-1788910955-930507466-1601",,"True","11/8/2023 2:40:19 PM",,"True","False","11/8/2023 2:40:19 PM",,
"DC-SRV01","MY-COMPUTER$","S-1-5-21-3318670742-1788910955-930507466-1606",,"True","4/17/2024 3:06:34 AM",,"True","False","4/17/2024 3:06:34 AM",,
